identificatie,naam,code,ligtInProvincieCode,ligtInProvincieNaam,fuuid,area_total,area_m2,n2k_area_natura,pct_natura
GM1771,Geldrop-Mierlo,"1771","30",Noord-Brabant,gemeentegebied.87f44e2d-d643-4a5d-9405-f109ccf9aa3c,31390520.6357028,31390520.6357028,0,0.000
GM0599,Rotterdam,"0599","28",Zuid-Holland,gemeentegebied.d33c4967-9c57-4a26-b431-bd586373814e,324177433.239231,324177433.239231,6570,0.002
GM0353,IJsselstein,"0353","26",Utrecht,gemeentegebied.26b0a18c-f20f-4fbb-9b7f-65e62e3a2615,21684019.8666727,21684019.8666727,,0.000
GM0796,'s-Hertogenbosch,"0796","30",Noord-Brabant,gemeentegebied.26b6a0a5-d2ce-4d96-a4de-21edcfd5b76c,117830051.749719,117830051.749719,3769599,3.199
GM1904,Stichtse Vecht,"1904","26",Utrecht,gemeentegebied.3b6bf43c-01e8-476c-814a-858b1ca8422c,106838047.629421,106838047.629421,5103651,4.777
GM0294,Winterswijk,"0294","25",Gelderland,gemeentegebied.85fda4ab-2bc1-47c5-b069-5842c451f18e,138827086.988239,138827086.988239,877806,0.632
GM0406,Huizen,"0406","27",Noord-Holland,gemeentegebied.738cf795-77b0-4992-82d9-7fdcc8619980,23326997.2865594,23326997.2865594,632274,2.710
GM0226,Duiven,"0226","25",Gelderland,gemeentegebied.edce1060-2b53-4ab0-b23f-605f8c78b7c4,35193322.9279241,35193322.9279241,82204,0.234
GM0394,Haarlemmermeer,"0394","27",Noord-Holland,gemeentegebied.c45e832a-176f-4de5-8d19-e0b5fe0bfecc,206344370.355351,206344370.355351,,0.000
GM0312,Bunnik,"0312","26",Utrecht,gemeentegebied.76184c30-cb24-4998-9c5c-361f37ea6685,37575918.1252656,37575918.1252656,,0.000
GM1892,Zuidplas,"1892","28",Zuid-Holland,gemeentegebied.bdc06a8e-722e-4840-ae3d-6e82628bf5ba,64059337.8608594,64059337.8608594,,0.000
GM0400,Den Helder,"0400","27",Noord-Holland,gemeentegebied.af0c9187-88ed-421d-aa50-95f0bb2035f1,178812340.713017,178812340.713017,4012150,2.244
GM0861,Veldhoven,"0861","30",Noord-Brabant,gemeentegebied.6b2f3c15-a6dd-4dcf-a8fa-68b34571a8d6,31888642.1715943,31888642.1715943,60927,0.191
GM0664,Goes,"0664","29",Zeeland,gemeentegebied.557ccc9c-8bfc-4407-b18f-e37847df267e,101913488.837544,101913488.837544,6426219,6.306
GM0384,Diemen,"0384","27",Noord-Holland,gemeentegebied.16675644-7a4f-42f8-bf24-97d2cc3f89aa,14039596.267147,14039596.267147,997993,7.108
GM0396,Heemskerk,"0396","27",Noord-Holland,gemeentegebied.baa005ef-bf63-4cfb-bc80-1a3efd2f20d6,31683740.1266714,31683740.1266714,10547132,33.289
GM0482,Alblasserdam,"0482","28",Zuid-Holland,gemeentegebied.a265aba5-dc2c-4d92-9682-7c42a7377839,10061501.521984,10061501.521984,987825,9.818
GM0164,Hengelo (O),"0164","23",Overijssel,gemeentegebied.f3d411ad-416e-4c43-8720-03a44ebd2904,61834985.6779068,61834985.6779068,,0.000
GM0163,Hellendoorn,"0163","23",Overijssel,gemeentegebied.512ae3d9-8fc9-44a0-822b-0e5849ecc51b,139008762.306732,139008762.306732,18424078,13.254
GM0638,Zoeterwoude,"0638","28",Zuid-Holland,gemeentegebied.d54a71f1-7ac2-431f-a375-995c9848e9f9,21961100.8971219,21961100.8971219,,0.000
GM0677,Hulst,"0677","29",Zeeland,gemeentegebied.db6aba01-c643-4af9-a844-aae60ffa95b9,251815066.570821,251815066.570821,70768883,28.104
GM0503,Delft,"0503","28",Zuid-Holland,gemeentegebied.47701c9c-5d3b-4bf1-8c65-faf1c3f2ed13,24065117.5989547,24065117.5989547,,0.000
GM0603,Rijswijk,"0603","28",Zuid-Holland,gemeentegebied.4720ec56-15c5-4fb9-859a-ed85510fa760,14503798.280849,14503798.280849,,0.000
GM0755,Boekel,"0755","30",Noord-Brabant,gemeentegebied.6d1373f3-f5b4-4f20-9464-ee315a793f80,34520010.3052865,34520010.3052865,,0.000
GM0397,Heemstede,"0397","27",Noord-Holland,gemeentegebied.d0607c9a-6b08-457d-b4ea-5e2d8b9ba66a,9645607.46218995,9645607.46218995,254572,2.639
GM0362,Amstelveen,"0362","27",Noord-Holland,gemeentegebied.507acdc1-d8d3-489b-96b8-f04c77869901,44088752.3687295,44088752.3687295,,0.000
GM0047,Veendam,"0047","20",Groningen,gemeentegebied.5a1a904d-c985-4b03-90ce-73babae7e9b1,78673024.5732746,78673024.5732746,,0.000
GM0327,Leusden,"0327","26",Utrecht,gemeentegebied.1e6c94ca-95fc-4e24-8ed3-faebb9938b5c,58903884.1999885,58903884.1999885,,0.000
GM0553,Lisse,"0553","28",Zuid-Holland,gemeentegebied.76146f75-d7af-4a85-b987-9ae86d595af6,16056423.0481309,16056423.0481309,,0.000
